Gene_set,Term,Term_Name,Overlap,term_size,query_size,P-value,Adjusted P-value,Genes,significant,description,effective_domain_size,precision,recall,query,parents
REAC,REAC:R-HSA-438066,"Unblocking of NMDA receptors, glutamate binding and activation",5,20,10,1.0701988544878988e-11,3.9731132472863244e-10,2902;2903;2904;2905;2906,True,"Unblocking of NMDA receptors, glutamate binding and activation",19241,0.5,0.25,query_1,['REAC:R-HSA-442755']
REAC,REAC:R-HSA-9620244,Long-term potentiation,5,21,10,1.0701988544878988e-11,3.9731132472863244e-10,2902;2903;2904;2905;2906,True,Long-term potentiation,19241,0.5,0.23809523809523808,query_1,['REAC:R-HSA-438064']
REAC,REAC:R-HSA-8849932,Synaptic adhesion-like molecules,5,21,10,1.0701988544878988e-11,3.9731132472863244e-10,2902;2903;2904;2905;2906,True,Synaptic adhesion-like molecules,19241,0.5,0.23809523809523808,query_1,['REAC:R-HSA-6794362']
REAC,REAC:R-HSA-9617324,Negative regulation of NMDA receptor-mediated neuronal transmission,5,20,10,1.0701988544878988e-11,3.9731132472863244e-10,2902;2903;2904;2905;2906,True,Negative regulation of NMDA receptor-mediated neuronal transmission,19241,0.5,0.25,query_1,['REAC:R-HSA-442755']
REAC,REAC:R-HSA-9609736,Assembly and cell surface presentation of NMDA receptors,5,43,10,4.030736862901839e-10,9.208683448321893e-09,2902;2903;2904;2905;2906,True,Assembly and cell surface presentation of NMDA receptors,19241,0.5,0.11627906976744186,query_1,['REAC:R-HSA-442755']
REAC,REAC:R-HSA-6794361,Neurexins and neuroligins,5,56,10,1.3291547854392832e-09,2.6320425070817222e-08,2902;2903;2904;2905;2906,True,Neurexins and neuroligins,19241,0.5,0.08928571428571429,query_1,['REAC:R-HSA-6794362']
REAC,REAC:R-HSA-112314,Neurotransmitter receptors and postsynaptic signal transmission,6,195,10,4.6850251910271815e-09,7.323434114395121e-08,2899;2902;2903;2904;2905;2906,True,Neurotransmitter receptors and postsynaptic signal transmission,19241,0.6,0.03076923076923077,query_1,['REAC:R-HSA-112315']
REAC,REAC:R-HSA-438064,Post NMDA receptor activation events,5,75,10,4.6850251910271815e-09,7.323434114395121e-08,2902;2903;2904;2905;2906,True,Post NMDA receptor activation events,19241,0.5,0.06666666666666667,query_1,['REAC:R-HSA-442755']
REAC,REAC:R-HSA-6794362,Protein-protein interactions at synapses,5,86,10,8.02637890502329e-09,1.1487368382532449e-07,2902;2903;2904;2905;2906,True,Protein-protein interactions at synapses,19241,0.5,0.05813953488372093,query_1,['REAC:R-HSA-112316']
REAC,REAC:R-HSA-442755,Activation of NMDA receptors and postsynaptic events,5,88,10,8.122381684618903e-09,1.1487368382532449e-07,2902;2903;2904;2905;2906,True,Activation of NMDA receptors and postsynaptic events,19241,0.5,0.056818181818181816,query_1,['REAC:R-HSA-112314']
REAC,REAC:R-HSA-112315,Transmission across Chemical Synapses,6,258,10,1.842010196958044e-08,2.4867137658933596e-07,2899;2902;2903;2904;2905;2906,True,Transmission across Chemical Synapses,19241,0.6,0.023255813953488372,query_1,['REAC:R-HSA-112316']
REAC,REAC:R-HSA-112316,Neuronal System,6,399,10,2.2992518463487512e-07,2.6264530706368426e-06,2899;2902;2903;2904;2905;2906,True,Neuronal System,19241,0.6,0.015037593984962405,query_1,['REAC:0000000']
REAC,REAC:R-HSA-442982,Ras activation upon Ca2+ influx through NMDA receptor,3,18,10,1.1627962509375516e-06,1.1140338275111381e-05,2902;2904;2906,True,Ras activation upon Ca2+ influx through NMDA receptor,19241,0.3,0.16666666666666666,query_1,['REAC:R-HSA-442742']
REAC,REAC:R-HSA-5673001,RAF/MAP kinase cascade,5,266,10,1.522256585609808e-06,1.2860158039886327e-05,2902;2904;2906;5501;5518,True,RAF/MAP kinase cascade,19241,0.5,0.018796992481203006,query_1,['REAC:R-HSA-5684996']
REAC,REAC:R-HSA-5684996,MAPK1/MAPK3 signaling,5,271,10,1.5588070351377367e-06,1.2860158039886327e-05,2902;2904;2906;5501;5518,True,MAPK1/MAPK3 signaling,19241,0.5,0.01845018450184502,query_1,['REAC:R-HSA-5683057']
REAC,REAC:R-HSA-442742,CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling,3,25,10,2.6578751860605514e-06,2.0436954283485416e-05,2902;2904;2906,True,CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling,19241,0.3,0.12,query_1,['REAC:R-HSA-438064']
REAC,REAC:R-HSA-5683057,MAPK family signaling cascades,5,310,10,2.683640461467782e-06,2.0436954283485416e-05,2902;2904;2906;5501;5518,True,MAPK family signaling cascades,19241,0.5,0.016129032258064516,query_1,['REAC:R-HSA-162582']
REAC,REAC:R-HSA-9828806,Maturation of hRSV A proteins,2,13,10,0.00019325253066045241,0.0008696363879720359,5499;5501,True,Maturation of hRSV A proteins,19241,0.2,0.15384615384615385,query_1,['REAC:R-HSA-9820965']
REAC,REAC:R-HSA-9022699,MECP2 regulates neuronal receptors and channels,2,15,10,0.0002463190264539195,0.0010918918038330461,2903;2904,True,MECP2 regulates neuronal receptors and channels,19241,0.2,0.13333333333333333,query_1,['REAC:R-HSA-8986944']
