Gene_set,Term,Term_Name,Overlap,term_size,query_size,P-value,Adjusted P-value,Genes,significant,description,effective_domain_size,precision,recall,query,parents
REAC,REAC:R-HSA-5693532,DNA Double-Strand Break Repair,36,169,69,2.2238378609771337e-54,3.854652292360365e-52,10721;11073;1111;11200;1763;2237;22976;2547;27434;3014;3981;4361;472;5111;5427;545;580;5884;5888;5890;5892;5932;5983;6117;6118;63967;641;672;675;7156;7158;7520;79728;83990;84126;9656,True,DNA Double-Strand Break Repair,19241,0.5217391304347826,0.21301775147928995,query_1,['REAC:R-HSA-73894']
REAC,REAC:R-HSA-73894,DNA Repair,39,328,69,3.2757307737253686e-49,2.838966670561986e-47,10721;11073;1111;11200;1763;2177;2237;22976;2547;27434;3014;3981;4361;472;5111;5427;5431;545;55215;580;5884;5888;5890;5892;5932;5983;6117;6118;63967;641;672;675;7156;7158;7520;79728;83990;84126;9656,True,DNA Repair,19241,0.5652173913043478,0.11890243902439024,query_1,['REAC:0000000']
REAC,REAC:R-HSA-5693538,Homology Directed Repair,30,139,69,5.200711642529346e-45,3.3804625676440745e-43,10721;11073;1111;1763;2237;3014;4361;472;5111;5427;545;580;5884;5888;5890;5892;5932;5983;6117;6118;63967;641;672;675;7156;7158;79728;83990;84126;9656,True,Homology Directed Repair,19241,0.43478260869565216,0.2158273381294964,query_1,['REAC:R-HSA-5693532']
REAC,REAC:R-HSA-5693579,Homologous DNA Pairing and Strand Exchange,22,43,69,2.8278868759734917e-42,1.336819250460196e-40,11073;1111;1763;4361;472;545;580;5884;5888;5890;5892;5932;5983;6117;6118;641;672;675;7156;79728;83990;84126,True,Homologous DNA Pairing and Strand Exchange,19241,0.3188405797101449,0.5116279069767442,query_1,['REAC:R-HSA-5685942']
REAC,REAC:R-HSA-5693567,HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA),28,133,69,1.2590815138337595e-41,5.456019893279624e-40,11073;1111;1763;3014;4361;472;5111;5427;545;580;5884;5888;5890;5892;5932;5983;6117;6118;63967;641;672;675;7156;7158;79728;83990;84126;9656,True,HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA),19241,0.4057971014492754,0.21052631578947367,query_1,['REAC:R-HSA-5693538']
REAC,REAC:R-HSA-5685942,HDR through Homologous Recombination (HRR),24,70,69,3.485314979461777e-41,1.3941259917847107e-39,11073;1111;1763;4361;472;5111;5427;545;580;5884;5888;5890;5892;5932;5983;6117;6118;641;672;675;7156;79728;83990;84126,True,HDR through Homologous Recombination (HRR),19241,0.34782608695652173,0.34285714285714286,query_1,['REAC:R-HSA-5693567']
REAC,REAC:R-HSA-5693616,Presynaptic phase of homologous DNA pairing and strand exchange,21,40,69,8.10536575104445e-41,3.01056442181651e-39,11073;1111;1763;4361;472;545;580;5884;5888;5890;5892;5932;5983;6117;6118;641;672;675;7156;83990;84126,True,Presynaptic phase of homologous DNA pairing and strand exchange,19241,0.30434782608695654,0.525,query_1,['REAC:R-HSA-5693579']
REAC,REAC:R-HSA-9675136,Diseases of DNA Double-Strand Break Repair,21,41,69,1.2892720933830729e-40,4.1901343034949866e-39,11073;1763;4361;472;545;580;5884;5888;5890;5892;5932;5983;6117;6118;641;672;675;7156;79728;83990;84126,True,Diseases of DNA Double-Strand Break Repair,19241,0.30434782608695654,0.5121951219512195,query_1,['REAC:R-HSA-9675135']
REAC,REAC:R-HSA-9701190,Defective homologous recombination repair (HRR) due to BRCA2 loss of function,21,41,69,1.2892720933830729e-40,4.1901343034949866e-39,11073;1763;4361;472;545;580;5884;5888;5890;5892;5932;5983;6117;6118;641;672;675;7156;79728;83990;84126,True,Defective homologous recombination repair (HRR) due to BRCA2 loss of function,19241,0.30434782608695654,0.5121951219512195,query_1,['REAC:R-HSA-9675136']
REAC,REAC:R-HSA-69481,G2/M Checkpoints,28,166,69,5.563406606766413e-39,1.6656047175065934e-37,11073;1111;11200;1763;3014;4171;4172;4174;4175;4176;4361;472;4998;545;580;5884;5932;5983;6117;6118;63967;641;672;7156;7158;83990;84126;9656,True,G2/M Checkpoints,19241,0.4057971014492754,0.1686746987951807,query_1,['REAC:R-HSA-69620']
REAC,REAC:R-HSA-1640170,Cell Cycle,40,677,69,5.7655547913689774e-39,1.6656047175065934e-37,11073;1111;11144;11200;1763;2237;3014;4171;4172;4174;4175;4176;4361;472;4998;5111;5422;5427;5431;545;5557;580;5884;5888;5932;5983;6117;6118;63967;641;64785;672;675;7156;7158;79075;83990;84126;84296;9656,True,Cell Cycle,19241,0.5797101449275363,0.059084194977843424,query_1,['REAC:0000000']
REAC,REAC:R-HSA-9675135,Diseases of DNA repair,21,50,69,2.367547266607737e-38,6.479603045452754e-37,11073;1763;4361;472;545;580;5884;5888;5890;5892;5932;5983;6117;6118;641;672;675;7156;79728;83990;84126,True,Diseases of DNA repair,19241,0.30434782608695654,0.42,query_1,['REAC:R-HSA-1643685']
REAC,REAC:R-HSA-9709570,Impaired BRCA2 binding to RAD51,18,35,69,8.596451248917252e-35,1.9435454997552046e-33,11073;1763;4361;472;545;580;5884;5888;5932;5983;6117;6118;641;672;675;7156;83990;84126,True,Impaired BRCA2 binding to RAD51,19241,0.2608695652173913,0.5142857142857142,query_1,['REAC:R-HSA-9701190']
REAC,REAC:R-HSA-3700989,Transcriptional Regulation by TP53,30,359,69,1.397206213735981e-32,2.7944124274719615e-31,11073;1111;11200;1763;2177;25920;4361;472;5111;51497;5431;545;55215;580;5884;5892;5932;5983;6117;6118;641;672;6924;7156;7469;7936;83990;84126;904;9656,True,Transcriptional Regulation by TP53,19241,0.43478260869565216,0.08356545961002786,query_1,['REAC:R-HSA-212436']
REAC,REAC:R-HSA-69620,Cell Cycle Checkpoints,28,287,69,3.757269617353913e-32,7.236222966755684e-31,11073;1111;11200;1763;3014;4171;4172;4174;4175;4176;4361;472;4998;545;580;5884;5932;5983;6117;6118;63967;641;672;7156;7158;83990;84126;9656,True,Cell Cycle Checkpoints,19241,0.4057971014492754,0.0975609756097561,query_1,['REAC:R-HSA-1640170']
REAC,REAC:R-HSA-5685938,HDR through Single Strand Annealing (SSA),17,37,69,8.447618539039276e-32,1.5147453932070426e-30,11073;1763;4361;472;545;580;5884;5888;5932;5983;6117;6118;641;672;7156;83990;84126,True,HDR through Single Strand Annealing (SSA),19241,0.2463768115942029,0.4594594594594595,query_1,['REAC:R-HSA-5693567']
REAC,REAC:R-HSA-69473,G2/M DNA damage checkpoint,21,93,69,8.447618539039276e-32,1.5147453932070426e-30,11073;1111;11200;1763;3014;4361;472;545;580;5884;5932;5983;6117;6118;641;672;7156;7158;83990;84126;9656,True,G2/M DNA damage checkpoint,19241,0.30434782608695654,0.22580645161290322,query_1,['REAC:R-HSA-69481']
REAC,REAC:R-HSA-5693607,Processing of DNA double-strand break ends,21,96,69,1.6430053671556514e-31,2.847875969736462e-30,11073;1111;1763;3014;4361;472;545;580;5884;5932;5983;6117;6118;63967;641;672;7156;7158;83990;84126;9656,True,Processing of DNA double-strand break ends,19241,0.30434782608695654,0.21875,query_1,['REAC:R-HSA-5693567']
REAC,REAC:R-HSA-69190,DNA strand elongation,15,32,69,3.4940545659946383e-28,5.0469677064367e-27,1763;2237;4171;4172;4174;4175;4176;5111;5422;5557;5983;6117;6118;64785;84296,True,DNA strand elongation,19241,0.21739130434782608,0.46875,query_1,['REAC:R-HSA-69239']
REAC,REAC:R-HSA-9709603,Impaired BRCA2 binding to PALB2,14,24,69,4.096307595966946e-28,5.756972837575168e-27,1763;4361;472;580;5888;5890;5892;5932;641;672;675;7156;79728;83990,True,Impaired BRCA2 binding to PALB2,19241,0.2028985507246377,0.5833333333333334,query_1,['REAC:R-HSA-9701190']
REAC,REAC:R-HSA-9701193,Defective homologous recombination repair (HRR) due to PALB2 loss of function,14,25,69,7.737437534348066e-28,9.81333540941706e-27,1763;4361;472;580;5888;5890;5892;5932;641;672;675;7156;79728;83990,True,Defective homologous recombination repair (HRR) due to PALB2 loss of function,19241,0.2028985507246377,0.56,query_1,['REAC:R-HSA-9675136']
REAC,REAC:R-HSA-9701192,Defective homologous recombination repair (HRR) due to BRCA1 loss of function,14,25,69,7.737437534348066e-28,9.81333540941706e-27,1763;4361;472;580;5888;5890;5892;5932;641;672;675;7156;79728;83990,True,Defective homologous recombination repair (HRR) due to BRCA1 loss of function,19241,0.2028985507246377,0.56,query_1,['REAC:R-HSA-9675136']
