Gene_set,Term,Term_Name,Overlap,term_size,query_size,P-value,Adjusted P-value,Genes,significant,description,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0007049,cell cycle,36,1636,65,4.994124154538642e-19,2.084503994937868e-17,1017;1019;1020;1021;1025;1026;1028;1029;1869;1870;2113;26993;286151;29882;3725;3925;4134;4193;4609;5925;5933;5934;64682;7027;7157;81669;8295;83852;8607;8841;8900;894;898;902;9134;983,True,"""The progression of biochemical and morphological phases and events that occur in a cell during successive cell replication or nuclear replication events. Canonically, the cell cycle comprises the replication and segregation of genetic material followed by the division of the cell, but in endocycles or syncytial cells nuclear replication or nuclear division may not be followed by cell division."" [GOC:go_curators, GOC:mtg_cell_cycle]",19241,0.5538461538461539,0.022004889975550123,query_1,['GO:0009987']
GO:BP,GO:0051726,regulation of cell cycle,31,1069,65,4.994124154538642e-19,2.084503994937868e-17,1017;1019;1020;1021;1025;1026;1028;1029;1869;1870;2113;286151;29882;3725;4193;4609;5925;5933;5934;64682;7027;7157;81669;8295;8607;8841;894;898;902;9134;983,True,"""Any process that modulates the rate or extent of progression through the cell cycle."" [GOC:ai, GOC:dph, GOC:tb]",19241,0.47692307692307695,0.028999064546304958,query_1,"['GO:0007049', 'GO:0050794']"
GO:BP,GO:0000082,G1/S transition of mitotic cell cycle,18,201,65,2.4792422668798358e-18,9.520290304818569e-17,1017;1019;1021;1026;1029;1869;4193;4609;5925;5933;5934;7027;7157;894;898;902;9134;983,True,"""The mitotic cell cycle transition by which a cell in G1 commits to S phase. The process begins with the build up of G1 cyclin-dependent kinase (G1 CDK), resulting in the activation of transcription of G1 cyclins. The process ends with the positive feedback of the G1 cyclins on the G1 CDK which commits the cell to S phase, in which DNA replication is initiated."" [GOC:mtg_cell_cycle]",19241,0.27692307692307694,0.08955223880597014,query_1,"['GO:0044772', 'GO:0044843']"
GO:BP,GO:0000278,mitotic cell cycle,28,886,65,4.799229700475174e-18,1.706392782391173e-16,1017;1019;1021;1026;1028;1029;1869;26993;286151;29882;3925;4134;4193;4609;5925;5933;5934;64682;7027;7157;83852;8841;8900;894;898;902;9134;983,True,"""Progression through the phases of the mitotic cell cycle, the most common eukaryotic cell cycle, which canonically comprises four successive phases called G1, S, G2, and M and includes replication of the genome and the subsequent segregation of chromosomes into daughter cells. In some variant cell cycles nuclear replication or nuclear division may not be followed by cell division, or G1 and G2 phases may be absent."" [GOC:mah, ISBN:0815316194]",19241,0.4307692307692308,0.03160270880361174,query_1,['GO:0007049']
GO:BP,GO:0006357,regulation of transcription by RNA polymerase II,41,2543,65,4.799229700475174e-18,1.706392782391173e-16,10001;1017;1019;1021;1025;1029;1051;1387;1869;1870;1874;2034;2113;219541;2274;26993;29079;3007;3009;3159;3725;4193;4609;5925;5933;5934;5966;5970;6908;7027;7157;80306;81669;8295;8607;8841;898;902;9282;9443;983,True,"""Any process that modulates the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]",19241,0.6307692307692307,0.016122689736531654,query_1,"['GO:0006355', 'GO:0006366']"
GO:BP,GO:0019219,regulation of nucleobase-containing compound metabolic process,48,3897,65,7.006627986066685e-18,2.248717482969814e-16,10001;1017;1019;1020;1021;1025;1026;1028;1029;1051;1387;1869;1870;1874;2034;2113;219541;2274;26993;29079;3007;3009;3159;3725;3838;4193;4609;5925;5933;5934;5966;5970;6908;7027;7157;7185;7345;80306;81669;8295;83852;8607;8841;898;902;9282;9443;983,True,"""Any cellular process that modulates the frequency, rate or extent of the chemical reactions and pathways involving nucleobases, nucleosides, nucleotides and nucleic acids."" [GOC:go_curators]",19241,0.7384615384615385,0.012317167051578136,query_1,"['GO:0006139', 'GO:0080090']"
GO:BP,GO:1903047,mitotic cell cycle process,26,739,65,7.729966347708737e-18,2.248717482969814e-16,1017;1019;1021;1026;1029;1869;26993;286151;29882;3925;4134;4193;4609;5925;5933;5934;64682;7027;7157;8841;8900;894;898;902;9134;983,True,"""A process that is part of the mitotic cell cycle."" [GO_REF:0000060, GOC:mtg_cell_cycle, GOC:TermGenie]",19241,0.4,0.035182679296346414,query_1,"['GO:0000278', 'GO:0022402']"
GO:BP,GO:0006355,regulation of DNA-templated transcription,45,3323,65,7.729966347708737e-18,2.248717482969814e-16,10001;1017;1019;1020;1021;1025;1028;1029;1051;1387;1869;1870;1874;2034;2113;219541;2274;26993;29079;3007;3009;3159;3725;4193;4609;5925;5933;5934;5966;5970;6908;7027;7157;7185;80306;81669;8295;83852;8607;8841;898;902;9282;9443;983,True,"""Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."" [GOC:go_curators, GOC:txnOH]",19241,0.6923076923076923,0.01354198013842913,query_1,"['GO:0006351', 'GO:0010468', 'GO:2001141']"
GO:BP,GO:2001141,regulation of RNA biosynthetic process,45,3341,65,7.729966347708737e-18,2.248717482969814e-16,10001;1017;1019;1020;1021;1025;1028;1029;1051;1387;1869;1870;1874;2034;2113;219541;2274;26993;29079;3007;3009;3159;3725;4193;4609;5925;5933;5934;5966;5970;6908;7027;7157;7185;80306;81669;8295;83852;8607;8841;898;902;9282;9443;983,True,"""Any process that modulates the frequency, rate or extent of RNA biosynthetic process."" [GOC:dph]",19241,0.6923076923076923,0.01346902125112242,query_1,"['GO:0010556', 'GO:0032774', 'GO:0051252']"
GO:BP,GO:0044843,cell cycle G1/S phase transition,18,228,65,7.729966347708737e-18,2.248717482969814e-16,1017;1019;1021;1026;1029;1869;4193;4609;5925;5933;5934;7027;7157;894;898;902;9134;983,True,"""The cell cycle process by which a cell in G1 phase commits to S phase."" [GOC:mtg_cell_cycle]",19241,0.27692307692307694,0.07894736842105263,query_1,['GO:0044770']
