Gene_set,Term,Term_Name,Overlap,term_size,query_size,P-value,Adjusted P-value,Genes,significant,description,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0031570,DNA integrity checkpoint signaling,24,123,69,4.417563486810058e-34,9.571387554755125e-33,11073;1111;11200;1763;2177;29980;3014;4361;472;4998;545;580;5884;5888;6118;63967;641;672;675;7158;83990;84126;90381;9656,True,"""A signaling process that controls cell cycle progression in response to changes in DNA structure by monitoring the integrity of the DNA. The DNA integrity checkpoint begins with detection of DNA damage, defects in DNA structure or DNA replication, and progresses through signal transduction and ends with cell cycle effector processes."" [GOC:mtg_cell_cycle]",19241,0.34782608695652173,0.1951219512195122,query_1,['GO:0000075']
GO:BP,GO:0090304,nucleic acid metabolic process,66,4975,69,2.970022896565501e-33,6.177647624856241e-32,10535;10721;11073;1111;11144;11200;1763;2177;2237;22976;2547;25920;27434;29980;3010;3014;3981;4171;4172;4174;4175;4176;4361;4678;472;4998;5111;51497;5422;5427;5431;545;55215;5557;57379;580;5884;5888;5890;5892;5932;5983;6117;6118;6240;63967;641;64785;672;675;6924;7156;7158;7469;7520;79075;7936;79728;8208;83990;84126;84296;90381;904;9401;9656,True,"""Any cellular metabolic process involving nucleic acids."" [GOC:dph, GOC:tb]",19241,0.9565217391304348,0.013266331658291457,query_1,"['GO:0006139', 'GO:0043170']"
GO:BP,GO:0000075,cell cycle checkpoint signaling,25,185,69,2.064127048212318e-31,3.462406661517436e-30,11073;1111;11200;1763;2177;29980;3014;4361;472;4998;545;580;5884;5888;5932;6118;63967;641;672;675;7158;83990;84126;90381;9656,True,"""A signaling process that controls cell cycle progression by monitoring the integrity of specific cell cycle events. A cell cycle checkpoint begins with detection of deficiencies or defects and ends with signal transduction."" [GOC:mtg_cell_cycle]",19241,0.36231884057971014,0.13513513513513514,query_1,"['GO:0035556', 'GO:1901988']"
GO:BP,GO:0000077,DNA damage checkpoint signaling,22,114,69,5.181126506681986e-31,8.419330573358227e-30,11073;1111;11200;2177;29980;3014;4361;472;545;580;5884;5888;6118;63967;641;672;675;7158;83990;84126;90381;9656,True,"""A signal transduction process that contributes to a DNA damage checkpoint."" [GOC:mah]",19241,0.3188405797101449,0.19298245614035087,query_1,"['GO:0031570', 'GO:0042770']"
GO:BP,GO:0006139,nucleobase-containing compound metabolic process,66,5526,69,2.2656084599812457e-30,3.570049694515903e-29,10535;10721;11073;1111;11144;11200;1763;2177;2237;22976;2547;25920;27434;29980;3010;3014;3981;4171;4172;4174;4175;4176;4361;4678;472;4998;5111;51497;5422;5427;5431;545;55215;5557;57379;580;5884;5888;5890;5892;5932;5983;6117;6118;6240;63967;641;64785;672;675;6924;7156;7158;7469;7520;79075;7936;79728;8208;83990;84126;84296;90381;904;9401;9656,True,"""Any cellular metabolic process involving nucleobases, nucleosides, nucleotides and nucleic acids."" [GOC:ai]",19241,0.9565217391304348,0.011943539630836048,query_1,['GO:0044238']
GO:BP,GO:0042770,signal transduction in response to DNA damage,23,172,69,1.1629228346147965e-28,1.778587864704983e-27,11073;1111;11200;2177;22976;29980;3014;4361;472;545;580;5884;5888;6118;63967;641;672;675;7158;83990;84126;90381;9656,True,"""A cascade of processes induced by the detection of DNA damage within a cell."" [GOC:go_curators]",19241,0.3333333333333333,0.13372093023255813,query_1,"['GO:0006974', 'GO:0035556']"
GO:BP,GO:1901988,negative regulation of cell cycle phase transition,25,247,69,2.9391578960423744e-28,4.3667488741200996e-27,11073;1111;11200;1763;2177;29980;3014;4361;472;4998;545;580;5884;5888;5932;6118;63967;641;672;675;7158;83990;84126;90381;9656,True,"""Any process that stops, prevents or reduces the frequency, rate or extent of cell cycle phase transition."" [GOC:mtg_cell_cycle, GOC:TermGenie, PMID:22841721]",19241,0.36231884057971014,0.10121457489878542,query_1,"['GO:0010948', 'GO:0044770', 'GO:1901987']"
GO:BP,GO:0022402,cell cycle process,40,1266,69,8.066628213104002e-28,9.987253978128764e-27,11073;1111;11144;11200;1763;2177;2237;22976;29980;3014;4171;4172;4175;4361;472;4998;5111;5422;545;57379;580;5884;5888;5890;5892;5932;6118;6240;63967;641;64785;672;675;7156;7158;79075;83990;84126;90381;9656,True,"""The cellular process that ensures successive accurate and complete genome replication and chromosome segregation."" [GOC:isa_complete, GOC:mtg_cell_cycle]",19241,0.5797101449275363,0.0315955766192733,query_1,"['GO:0007049', 'GO:0009987']"
GO:BP,GO:1901987,regulation of cell cycle phase transition,28,425,69,9.092826443469125e-27,1.0746067615008964e-25,11073;1111;11200;1763;2177;22976;29980;3014;4361;472;4998;545;580;5884;5888;5890;5932;6118;6240;63967;641;672;675;7158;83990;84126;90381;9656,True,"""Any process that modulates the frequency, rate or extent of cell cycle phase transition."" [GOC:mtg_cell_cycle, GOC:TermGenie, PMID:22841721]",19241,0.4057971014492754,0.06588235294117648,query_1,"['GO:0010564', 'GO:0044770']"
GO:BP,GO:0010948,negative regulation of cell cycle process,25,288,69,1.2746298102869868e-26,1.4729055585538514e-25,11073;1111;11200;1763;2177;29980;3014;4361;472;4998;545;580;5884;5888;5932;6118;63967;641;672;675;7158;83990;84126;90381;9656,True,"""Any process that decreases the rate, frequency or extent of a cellular process that is involved in the progression of biochemical and morphological phases and events that occur in a cell during successive cell replication or nuclear replication events."" [GOC:dph, GOC:tb]",19241,0.36231884057971014,0.08680555555555555,query_1,"['GO:0010564', 'GO:0022402', 'GO:0045786']"
GO:BP,GO:0051052,regulation of DNA metabolic process,28,498,69,6.8389051205470925e-25,7.408813880592684e-24,10721;1111;1763;22976;3010;3014;4171;4172;4174;4175;4176;4361;472;5111;545;57379;580;5884;5888;5983;6118;641;672;7158;7520;79075;84126;90381,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving DNA."" [GOC:ai]",19241,0.4057971014492754,0.05622489959839357,query_1,"['GO:0006259', 'GO:0019219', 'GO:0060255']"
GO:BP,GO:0007049,cell cycle,41,1636,69,7.696174657056657e-25,8.167369023815228e-24,11073;1111;11144;11200;1763;2177;2237;22976;29980;3014;4171;4172;4175;4361;472;4998;5111;5422;545;57379;580;5884;5888;5890;5892;5932;6117;6118;6240;63967;641;64785;672;675;7156;7158;79075;83990;84126;90381;9656,True,"""The progression of biochemical and morphological phases and events that occur in a cell during successive cell replication or nuclear replication events. Canonically, the cell cycle comprises the replication and segregation of genetic material followed by the division of the cell, but in endocycles or syncytial cells nuclear replication or nuclear division may not be followed by cell division."" [GOC:go_curators, GOC:mtg_cell_cycle]",19241,0.5942028985507246,0.02506112469437653,query_1,['GO:0009987']
