Gene_set,Term,Term_Name,Overlap,term_size,query_size,P-value,Adjusted P-value,Genes,significant,description,effective_domain_size,precision,recall,query,parents
REAC,REAC:R-HSA-9630791,Evasion of Oncogene Induced Senescence Due to Defective p16INK4A binding to CDK4,2,2,65,5.601074282535748e-05,0.0001998896398228371,1019;1029,True,Evasion of Oncogene Induced Senescence Due to Defective p16INK4A binding to CDK4,19241,0.03076923076923077,1.0,query_1,['REAC:R-HSA-9630750']
REAC,REAC:R-HSA-9632697,Evasion of Oxidative Stress Induced Senescence Due to Defective p16INK4A binding to CDK4,2,2,65,5.601074282535748e-05,0.0001998896398228371,1019;1029,True,Evasion of Oxidative Stress Induced Senescence Due to Defective p16INK4A binding to CDK4,19241,0.03076923076923077,1.0,query_1,['REAC:R-HSA-9632693']
REAC,REAC:R-HSA-73772,RNA Polymerase I Promoter Escape,5,89,65,6.157784822417113e-05,0.00021813555090481287,3012;653604;6908;8356;902,True,RNA Polymerase I Promoter Escape,19241,0.07692307692307693,0.056179775280898875,query_1,['REAC:R-HSA-73854']
REAC,REAC:R-HSA-5687128,MAPK6/MAPK4 signaling,5,89,65,6.157784822417113e-05,0.00021813555090481287,23198;3725;4609;5713;983,True,MAPK6/MAPK4 signaling,19241,0.07692307692307693,0.056179775280898875,query_1,['REAC:R-HSA-5683057']
REAC,REAC:R-HSA-113501,Inhibition of replication initiation of damaged DNA by RB1/E2F1,3,14,65,6.352071943265039e-05,0.0002233695628400893,1869;5925;7027,True,Inhibition of replication initiation of damaged DNA by RB1/E2F1,19241,0.046153846153846156,0.21428571428571427,query_1,['REAC:R-HSA-113510']
REAC,REAC:R-HSA-170834,Signaling by TGF-beta Receptor Complex,5,92,65,7.129307136074065e-05,0.00024797590038518486,1025;1874;4609;5933;7027,True,Signaling by TGF-beta Receptor Complex,19241,0.07692307692307693,0.05434782608695652,query_1,['REAC:R-HSA-9006936']
REAC,REAC:R-HSA-9759194,Nuclear events mediated by NFE2L2,5,95,65,8.271942017127033e-05,0.00028668102297624374,1029;1387;4609;5713;5970,True,Nuclear events mediated by NFE2L2,19241,0.07692307692307693,0.05263157894736842,query_1,['REAC:R-HSA-9755511']
REAC,REAC:R-HSA-597592,Post-translational protein modification,16,1450,65,8.929429079873088e-05,0.0003083543854920203,1026;1029;1387;2034;23198;3012;4193;4609;5713;5970;7157;7345;8295;8607;8900;983,True,Post-translational protein modification,19241,0.24615384615384617,0.011034482758620689,query_1,['REAC:R-HSA-392499']
REAC,REAC:R-HSA-1257604,PIP3 activates AKT signaling,7,252,65,0.00010476179274197399,0.0003566358901854434,1026;23198;3725;4193;5713;7157;8841,True,PIP3 activates AKT signaling,19241,0.1076923076923077,0.027777777777777776,query_1,['REAC:R-HSA-9006925']
REAC,REAC:R-HSA-5689603,UCH proteinases,5,102,65,0.00011419601725804245,0.00038737871578699913,23198;3012;5713;7345;8607,True,UCH proteinases,19241,0.07692307692307693,0.049019607843137254,query_1,['REAC:R-HSA-5688426']
